radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
UMTS;218;3;70;210209;154;18.1015;44.751;1605;49;1;1459296108;1735964885;0
UMTS;218;3;70;228308;292;18.0948;44.5564;1000;10;1;1459296108;1735964882;0
UMTS;218;3;70;228209;209;18.0915;44.5243;770;27;1;1459296108;1735910769;0
UMTS;218;3;70;218839;446;18.103;44.9091;2005;50;1;1459296108;1735964888;0
UMTS;218;3;70;217278;260;18.0724;44.6625;7963;24;1;1459296108;1735964917;0
UMTS;218;3;70;217280;40;18.0716;44.678;1980;23;1;1459296108;1735964884;0
UMTS;218;3;70;210208;146;18.0546;44.8152;1287;23;1;1459296108;1735964887;0
UMTS;218;3;70;212490;313;17.8897;44.2856;1269;24;1;1459296108;1735910766;0
UMTS;218;3;70;228208;201;18.0977;44.5629;1820;43;1;1459296108;1735964883;0
UMTS;218;3;70;212509;425;18.0668;44.4676;1000;6;1;1459296108;1735910769;0
UMTS;218;3;70;212500;417;17.9979;44.4015;1768;51;1;1459296108;1735910768;0
GSM;218;3;70;1332;0;18.0449;44.7656;5721;56;1;1459296175;1722204190;0
GSM;218;3;70;2663;0;17.9101;44.3201;7308;50;1;1459095404;1735910767;0
GSM;218;3;70;1331;0;18.0884;44.7545;6219;49;1;1461374932;1735964885;0
GSM;218;3;70;2206;0;17.9623;44.189;1471;16;1;1461876730;1735910765;0
GSM;218;3;70;1802;0;17.9522;44.1901;8775;38;1;1461876730;1735910765;0
GSM;218;5;8;7901;0;18.7615;43.4058;6613;81;1;1461968217;1696012217;0
GSM;218;3;40;1825;0;18.7503;43.4081;10138;47;1;1463037985;1722061504;0
GSM;218;3;40;1780;0;18.7379;43.4926;7606;24;1;1463037985;1722061923;0
GSM;218;3;30;1902;0;18.3594;45.0763;14515;8;1;1465619208;1722206223;0
GSM;218;5;8;7902;0;18.7529;43.4424;8574;69;1;1469574534;1696061104;0
GSM;218;5;8;1742;0;18.6781;43.3576;11655;34;1;1470792026;1696099895;0
GSM;218;5;8;3671;0;18.5587;43.5564;3579;16;1;1472906476;1696009681;0
GSM;218;3;70;1805;0;17.8975;44.2378;8480;16;1;1462089625;1735910766;0
GSM;218;3;70;1803;0;17.9217;44.2048;6073;20;1;1462090115;1696004282;0
GSM;218;3;70;3254;0;17.9186;44.1998;4536;23;1;1462090115;1722199203;0
GSM;218;3;70;3381;0;17.9089;44.2213;1681;7;1;1462090851;1722199322;0
UMTS;218;3;40;217310;68;18.0299;44.1356;9118;19;1;1463756870;1735910776;0
UMTS;218;3;40;226708;388;18.4287;43.8585;500;30;1;1465861651;1735910722;0
UMTS;218;3;40;226959;14;18.4256;43.8587;500;38;1;1465861651;1735910722;0
UMTS;218;3;40;248409;334;18.3596;43.7916;2311;23;1;1467536383;1735910720;0
GSM;218;3;70;1320;0;18.0953;44.5561;5136;47;1;1467570322;1735910770;0
GSM;218;3;70;2659;0;18.0922;44.543;2150;6;1;1467550318;1735910770;0
UMTS;218;3;40;217438;26;18.7047;43.5021;3745;37;1;1468076814;1735910715;0
GSM;218;3;40;3533;0;18.3907;43.653;27389;17;1;1468054387;1722104285;0
UMTS;218;3;40;217448;34;18.7045;43.3698;3019;51;1;1468259984;1735910740;0
UMTS;218;3;40;217449;42;18.6751;43.3223;1665;36;1;1468229688;1735910712;0
UMTS;218;3;40;217439;18;18.7314;43.4952;6700;50;1;1468229683;1735910715;0
GSM;218;3;40;1824;0;18.7298;43.3764;4380;56;1;1468260235;1722056293;0
UMTS;218;3;40;226661;200;18.4235;43.8578;2108;50;1;1468512922;1735910722;0
GSM;218;3;70;2824;0;18.0277;44.4294;2013;40;1;1468556172;1722201242;0
GSM;218;5;8;4301;0;18.625;43.2066;13680;31;1;1469574534;1696078925;0
GSM;218;5;8;7323;0;18.5184;43.2692;24391;11;1;1469574534;1696087801;0
GSM;218;5;8;1743;0;18.7433;43.3908;8519;68;1;1469574534;1696060683;0
GSM;218;3;30;2029;0;19.3338;44.8627;18811;9;1;1470089360;1736699295;0
GSM;218;5;8;3061;0;18.6297;43.2126;18205;77;1;1470196144;1696078509;0
GSM;218;3;30;1953;0;19.1124;44.2717;3211;14;1;1470383286;1719433751;0
GSM;218;5;8;3661;0;18.6964;43.3379;2263;102;1;1470753454;1696057684;0
GSM;218;5;8;2061;0;18.5765;43.1961;24999;8;1;1470753478;1696073825;0
GSM;218;5;8;1512;0;18.5545;43.2888;14898;20;1;1470753468;1696083242;0
GSM;218;5;8;7502;0;18.5839;43.264;7986;122;1;1470753459;1696092961;0
GSM;218;5;8;1341;0;18.5985;43.2518;8999;132;1;1470753459;1696085581;0
UMTS;218;3;40;226658;117;18.3994;43.8582;1000;19;1;1471103286;1735910722;0
GSM;218;3;30;1507;0;18.432;44.9988;11960;17;1;1471467076;1719046323;0
